km_driven,BMW,Chevrolet,Ford,Honda,Hyundai,Mahindra,Maruti,Renault,Skoda,Tata,Toyota,Volkswagen,uncommon,fuel_Diesel,fuel_LPG,fuel_Petrol,owner_Fourth & Above Owner,owner_Second Owner,owner_Test Drive Car,owner_Third Owner
76000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
45000,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
100000,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
120000,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
110000,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
90000,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
70000,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
35000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
77000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
120000,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
35000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
50000,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
102000,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
45000,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
103000,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
48000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70000,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
120000,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20000,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
38000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
60000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
110000,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
68089,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
40000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
1000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
50000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
57000,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
56000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
86000,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
51000,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
110000,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
40000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
66000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
100000,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
291977,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
35000,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
